name,slug,category,rating,AI - Business Instant Messaging | AI Powered Language Translation,AI - Business Instant Messaging | AI Powered Search,AI - Business Instant Messaging | Content Generation,AI - Business Instant Messaging | Smart Notifications,Access | Browser Extension,Access | Individual Download,Access | Software Pairing,Accessibility | Keyboard Shortcuts,Accessibility | Screen Reader Compatibility,Account Options | Bookmarking,Account Options | History,Account Options | Reputation System,Account Options | Single Sign-On (SSO),Account Options | Social Login,Account Options | Topic Subscription,Additional Features- | Analytics,Additional Features- | Educational,Additional Features- | Virtual Office,Administration | Administrative Dashboard,Administration | Administrative dashboard,Administration | Certificates,Administration | Integrations,Administration | Mobile Compatibility,Administration | Mobile compatibility,Administration | Scheduling,Administration | Team-level monitoring,Administration | White-labeling,Advanced Features - Cloud PBX | Analytics and Reporting,Advanced Features - Cloud PBX | Automated attendant,Advanced Features - Cloud PBX | Security and Compliance,Advanced Features - Cloud PBX | Support and Reliability,Advanced Features | Automated Attendants,Advanced Features | Hold Music,Application Tools | In-Browser Application,Application Tools | Password Protection,Application Tools | Recording,Assessment delivery | Pre-made content,Assessment delivery | Question variety,Assessment delivery | Real-time assessment,Audience Engagement | Audience Q&A,Audience Engagement | Live Slides,Audience Engagement | Polls and Surveys,Audience Engagement | Quizzes,Automatic Rules & Configurations | Automatic Updates,Automatic Rules & Configurations | Buffer Times,Automatic Rules & Configurations | Set Working Hours,Basic Communication - Cloud PBX | Accessibility,Basic Communication - Cloud PBX | Call Management,Basic Communication - Cloud PBX | Communication Management,Basic Communication - Cloud PBX | Integrations,Basic Communication - Cloud PBX | Mobile Accessibility,Basic Communication - Cloud PBX | Scalability,Basic Communication | Conference Calls,Basic Communication | Desk-to-Desk Calls,Basic Communication | Instant Messaging,Basic Communication | Phone Calls,Basic Communication | Screen Sharing,Basic Communication | Video Calls,Basics | Mobility,Basics | Performance,Branding & Customizatio | Custom Booking Page,Branding & Customizatio | Personalized Links,Branding & Customizatio | Personalized Web Embed,Business Instant Messaging | Audio Conferencing,Business Instant Messaging | File Sharing,Business Instant Messaging | Integrations,Business Instant Messaging | Mobile Application,Business Instant Messaging | Notifications,Business Instant Messaging | Search,Business Instant Messaging | Video Conferencing,Business Instant Messaging | Web Application,Business Management | Client History,Business Management | Surveying,Calendar View | Customizable Viewing,Calendar View | Multi-Calendar ViewView full feature definition,Coaching | Client Plans,Coaching | Goal Tracking,Coaching | Messaging,Coaching | Notekeeping,Coaching | Resource Library,Coaching | Session History,Collaboration Tools | Hand Raising,Collaboration Tools | Live Chat,Collaboration Tools | Screen Sharing,Collaboration | Hand Raising,Collaboration | Participation Controls,Collaboration | Screen Sharing,Collaboration | Survey Tools,Collaboration | Whiteboard,Communication Tools | Commenting,Communication Tools | Voting,Compatibility | Mobile compatibility,Compatibility | Single sign-on (SSO),Conferencing Options | Audio Conferencing,Conferencing Options | Group Live Chat,Conferencing Options | Video Conferencing,Content Generation | Content Accuracy,Content Generation | Creativity,Content Sharing | File Sharing,Content Sharing | Session Recording,Content Sharing | Video Streaming,Content | Content Creation,Content | Content Library,Content | Customizability,Coordination Tools | Calendar,Coordination Tools | Contacts,Coordination Tools | Task Management,Core Features | Connection,Core Features | Creative,Core Features | Gamification,Core Features | Reports,Course Authoring | Assessments & Quizzes,Course Authoring | Course Builder,Course Delivery | 24/7 Availability,Course Delivery | Learning Paths,Course Management | Certifications,Course Management | Course Access,Course Management | Industry Compliance,Courses | Certification practice tests,Courses | High-quality content,Courses | In-course assessments,Courses | Personalized recommendations,Courses | Projects,Courses | Video content,Customer Assistance | Help and Support,Data | Data Security,Data | Reliability,Design Tools | Drag-and-Drop,Design Tools | Drawing,Design Tools | Marker Colors,Design Tools | Mind Mapping,Design Tools | Templates,Engagement Analytics | Dashboards & Reporting,Engagement Analytics | Data Exporting,Engagement Analytics | Live Results,Event Support | Event Security,Event Support | Hybrid/Virtual Events,Event Support | Integrations,Event Support | SMS Voting,Extensions | CCaaS Option,Extensions | Native VoIP,Extensions | Tenancy Flexibility,Features | Conference Transcripts,Features | File Sharing,Features | Video Conferencing,Features | Voice Conferencing,Features | Voicemail to Email,Features | Voicemail to SMS,Functionality | Analytics,Functionality | Live Chat,Functionality | Markup Tools,Functionality | Mass Messaging,Functionality | Multimedia,Functionality | Push Notifications,Functionality | Student Messaging,Functionality | Technical Support,Generative AI - Business Instant Messaging | Text Summarization,Generative AI | AI Image-to-Text,Generative AI | AI Text Generation,Generative AI | AI Text Summarization,Generative AI | AI Text-to-Image,Generative AI | AI Text-to-Music,Generative AI | AI Text-to-Speech,Generative AI | AI Text-to-Video,Grading and reporting | Analytics dashboard,Grading and reporting | Automated grading,Grading and reporting | Gamification,Grading and reporting | Reporting,Human Connections | Live Tutoring,Human Connections | Peer Feedback,Inbox Tools | Filters,Inbox Tools | Notifications,Inbox Tools | Reminders,Inbox Tools | Unified Inbox,Integration | Classroom Management,Integration | Education ERP System,Integration | Import Events,Integration | LMS Integration,Integration | Learning Management System,Integration | Message Sync,Integration | Software Integrations,Integration | Sync Multiple Calendars,Integrations | CMS Integrations,Integrations | Email Integration,Integrations | Google Meet Integration,Integrations | MS Teams Integration,Integrations | Salesforce Integration,Integrations | Sharing,Integrations | Zoom Integration,Interaction | Complex Query Handling,Interaction | Context Management,Interaction | Customizability,Interaction | Natural Conversation,Interaction | Understanding,Interface | Multilingual,Interface | White Labeling,Interoperability | Images or Gifs,Interoperability | Integration,Interoperability | Recognition & Rewards,Language learning lessons | Gamification,Language learning lessons | Multimedia,Language learning lessons | Personalized Learning Paths,Language learning lessons | Self-Paced Lessons,Language learning lessons | Speech Recognition,Learning Content | Gamification,Learning Content | Multimedia Content,Learning Content | Pre-made Content,Learning | Error Learning,Learning | User Interaction Learning,Meeting Coordination | One-Click Join,Meeting Coordination | Participant Permissions,Meeting Coordination | Recording,Meeting Coordination | Scheduling,Notifications | Customized Calendar Notifications,Notifications | Location-Based Alerts,Performance | Interoperability,Performance | Monitoring,Performance | Reporting,Personalization | Assessments,Personalization | Personalized Learning Paths,Planning | Collaborative Editorial Calendars / Scheduling Content,Planning | Scheduling Integration,Platform Additional Functionality | Asset Management Integration,Platform Additional Functionality | Cloud,Platform Additional Functionality | File Sharing,Platform Additional Functionality | Integration,Platform Additional Functionality | Messaging,Platform Additional Functionality | Mobility,Platform Additional Functionality | Network Reporting,Platform Additional Functionality | Platform Search,Platform Additional Functionality | Screen Grouping,Platform Basics | Auto Save,Platform Basics | Content Scheduling,Platform Basics | Image Editor,Platform Basics | Mail Management,Platform Basics | Multi-User Access,Platform Basics | Presenter Tools,Platform Basics | Remotely Content Management,Platform Basics | Screen Capture,Platform Basics | Slide Design,Platform Basics | Video Capture,Platform Basics | Visitor Check-In,Platform Content | Charts,Platform Content | File Sharing,Platform Content | Media Editor,Platform Content | Media Formats,Platform Content | Screen Record,Platform Content | Scrolling Capture,Platform Content | Template Creator,Platform Content | Template Library,Platform Content | Text Extraction,Platform Customization | White Labeling,Platform Data | Analytics,Platform Data | Automation,Platform Data | Dashboard,Platform Data | Visitor Logs,Platform Features | Instant Messaging,Platform Features | Interactive Quizzes,Platform Features | Presentation Building,Platform Features | Progress Reporting,Platform Features | Remote Computer Monitoring,Platform Features | Shared Content Libraries,Platform Features | Student Assignment Collection,Platform Features | Student Assignment Distribution,Platform Features | Teacher/Student Screensharing,Platform Features | Website & Application Blocking,Platform Interoperability | Hardware,Platform Interoperability | Notifications,Presenter Tools | Live Preview,Presenter Tools | Notifications Blocker,Presenter Tools | Remote Control,Presenter Tools | Switch Presenter,Publishing | Execute Content Publication,Q&A Tools | Analytics,Q&A Tools | Commenting System,Q&A Tools | Embedding,Q&A Tools | Formatting,Q&A Tools | Integrations,Q&A Tools | Knowledge Integrations,Q&A Tools | Notifications,Q&A Tools | Tags,Q&A Tools | Voting,Reporting Analysis | Course Completion,Reporting Analysis | Progress Reports,Reporting and Analytics | Integrations,Shared Calendar | Calendar Collaboration,Shared Calendar | Multiple Calendar Management,Social Media | Social Media Integration,Software Offering | Desktop App,Software Offering | In-Browser,Software Offering | Mobile App,Software Options | Desktop Application,Software Options | Mobile Application,Software Type | Browser Application,Software Type | Desktop Application,Software Type | Mobile,Survey Customization | Branding,Survey Customization | Multilingual Surveys,Survey Customization | Multimedia Support,Survey Insights | Data Exporting,Survey Insights | Permissions,Survey Management | Question Types,Survey Management | Templates,System | API Flexibility,System | Cross-Platform Compatibility,System | Software Integration,System | Update Frequency and Utility,Training & eLearning | Assessments and Practice,Training & eLearning | Content Creation,Training & eLearning | Content Delivery and Tracking,Training & eLearning | Content Libraries,Training & eLearning | Content Storage and Management,Training & eLearning | Customer Training,Training & eLearning | Manager Portals
Zoom Workplace,zoom-workplace,Virtual Classroom,4.5,80,86,81,81,88,90,87,76,79,,,,,,,,,,,,,,,,,,,91,86,85,92,87,84,89,89,91,,,,,,,,87,86,86,89,90,88,82,93,91,94,91,89,92,93,94,,,82,86,83,91,88,87,90,88,86,93,90,,,82,79,,,,,,,91,91,92,91,90,93,87,86,91,89,,,92,91,93,86,87,88,91,90,,,,86,85,78,,,,,,,,,,,,,,,,,,,86,89,89,88,89,85,86,,,,,,,,88,89,90,89,90,93,92,89,88,,90,87,,,,,86,81,,,,,,,,,,,,,,82,83,84,75,,,79,,,,82,79,84,88,79,80,78,90,89,80,81,81,87,86,,,,,,,,,,,,,,83,82,90,89,90,89,79,75,,,,,,,,80,,79,82,,,80,74,88,,86,72,77,88,,85,88,,89,85,,,79,84,87,77,,,74,,80,81,85,80,,,,,,,,,,,86,86,90,86,88,89,,,,,,,,,,,,,,82,80,,94,89,91,91,90,88,92,89,,,,,,,,81,83,84,87,,,,,,,
Speexx,speexx,Virtual Classroom,4.6,,,,,,,,,,,,,,,,,,,85,91,93,79,84,,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,85,,,87,91,88,85,84,88,,,,88,89,88,86,86,,,86,89,,,,,,88,84,88,,,,,,,,,,,,,,,,89,,89,90,91,89,90,86,89,,,,,,,,,,,,,,,,,,,,,,,,,89,86,,,,,88,,,,,,,,,,,,,86,80,,,,,,81,,,87,,,,,,,,,,,,,,,,,,,,,79,88,85,90,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo360,echo360,Assessment,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,91,93,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,82,94,85,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iSpring Suite,ispring-suite,Assessment,4.6,,,,,,,,,,,,,,,,,,,,,,,,84,,,87,,,,,,,,,,83,90,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,83,83,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,77,53,53,56,68,51,77,90,79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,82,81,,,,,,,,,,,,,,,,,,,,,,,,,59,61,,86,,,68,81,,,,87,,,,,90,,,89,,,89,79,,,,,87,86,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,89,91,85,82,85,85,81
Kahoot!,kahoot,Assessment,4.6,,,,,,,,,,,,,,,,,,,,,,,,93,,,77,,,,,,,,,,88,90,96,94,90,93,97,,,,,,,,,,,,,,,,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,91,96,91,91,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,91,97,96,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,92,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,91,93,90,91,,90
Mentimeter,mentimeter,Assessment,4.7,,,,,,,,,,69,73,70,85,74,66,80,81,72,,,,,,92,,,77,,,,,,,,,,82,88,95,92,,94,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,85,83,83,,,,,,,,,,,,,,,,,,,,,,88,87,95,,87,80,,,,,,,,,,,,,,,,,,,,,,72,,,,,86,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,76,69,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,93,,,,,86,,,82,,,87,81,,,,,82,82,,,,,,,,,,,,,,,,,,,,,,,,78,75,74,75,73,75,73,77,85,,,,,,,,,,,,,,,84,79,83,83,82,90,85,,,,,,,,,,,
Dyknow Classroom,dyknow-classroom,Classroom Management,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,81,,83,97,,,82,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassDojo,classdojo,Classroom Management,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,93,89,90,92,,,,,,,,,,,,,,,,,,,,94,,,87,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,74,75,91,86,76,80,82,85,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LanSchool,lanschool,Classroom Management,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,78,,,87,,80,81,88,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumio,smart-technologies-lumio,Classroom Management,4.8,,,,,,,,,,,,,,,,,,,,,,,,92,,,82,,,,,,,,,,86,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,93,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,89,88,,,,,,,,,,,,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,92,90,,89,,87,93,94,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brainscape,brainscape,Study Tools,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quizlet,quizlet,Study Tools,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quizizz,quizizz,Study Tools,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,95,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchoolStatus,schoolstatus,Classroom Messaging,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,96,91,93,89,,,,,,,,,,,,,,,,,,,,95,,,91,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TalkingPoints,talkingpoints,Classroom Messaging,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,97,90,93,94,,,,,,,,,,,,,,,,,,,,94,,,93,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParentSquare,parentsquare,Classroom Messaging,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
